Image ID,Creator,Short Title,Title,Created:from,Created:to,Last DB update,Uploaded to DB,Image type,Technique,Language,Distribution at time of creation,(Digital) source,Source ID (if applicable),Country of origin,Exact location,Holding institution,Collection,Other copyright holders,Related images,Licence,ImgDB ID,Metadata editor,,
21,unknown,A Plot with Powder,A Plot with Powder / scene with God's hand pointing at Guy Fawkes,1605-01-01,1605-12-31,2/15/2015 15:36,2.2.2014,1,1,5,,http://www.bpi1700.org.uk/jsp/image.jsp?image=48812,Order Ref.: AN48812001,GBR,England,British Museum London,British Printed Images Database,British Museum London,A similar print is published in George: English Political Caricatures to 1792. A study of opinion and propaganda / Oxford 1959 / PLATE 3.,0,imgs/1605_GBR__21.jpg,monika,,
22,L. Tocque,Charles Edward Stuart,A Portrait of Charles Edward Stuart,1747-01-01,1747-12-31,2/26/2014 23:03,2.2.2014,1,1,1,,,,GBR,Edinburgh,National Library of Scotland,Jacobite Prints and Broadsides Online (NLS),National Library of Scotland,,2,imgs/1747_GBR__22.jpg,monika,,
23,unknown,The Duke of York and Prince Charles,The Duke of York and Prince Charles,1735-01-01,1735-12-31,2/26/2014 23:03,2.2.2014,12,1,1,,,,GBR,,National Library of Scotland,Jacobite Prints and Broadsides Online (NLS),National Library of Scotland,,0,imgs/1735_GBR__23.jpg,monika,,
24,anonymus,Burning heretics,Burning heretics,1560-01-01,1570-12-31,2.3.2014 16:44,2.3.2014,1,1,9,,Mustafin / Licevoj svod,,RUS,,,,,,3,imgs/1560_RUS__24.jpg,m.griesse,,
25,Salomon Savery,De Weegschaal,De Weegschaal,1618-01-01,1618-12-31,2/26/2014 23:03,2.3.2014,1,1,3,,http://www.geheugenvannederland.nl/?/nl/items/RIJK04:RP-P-19,Unknown,NLD,Unknown,Rijksmuseum Amsterdam,Rijksmuseum Amsterdam,Rijksmuseum Amsterdam,,1,imgs/1618_NLD__25.jpg,monika,,
29,anonymous,Battle on the ice,Battle on the ice,1560-01-01,1580-12-31,2/27/2014 19:49,2/27/2014,1,1,9,none,Mustafin / Licevoj svod,,RUS,Court of Muscovy (Ivan IV),Kremlin,,,,0,imgs/1560_RUS__29.jpg,m.griesse,,
30,unknown,Map of Europe 1700 Northwest,Map of Eruope 1700 Northwest,1.1.2014,12/31/2014,3/21/2014 21:04,3/21/2014,13,1,5,,,,USA,,,,,,2,imgs/2014_USA__30.jpg,monika,,
31,unknown,Map of Europe 1600 Northwest,Map of Europe 1600 Northwest,1.1.2014,12/31/2014,3/21/2014 21:05,3/21/2014,13,1,5,,,,USA,,,,,,2,imgs/2014_USA__31.jpg,monika,,
32,unknown,The Solemn Mock Procession of the Pope / Cardinalls / Jesuits /,The Solemn Mock Procession of the Pope / Cardinalls / Jesuits / Fryers &c. through the City of London / November the 17th / 1679,1680-01-01,1680-12-31,3/21/2014 21:38,3/21/2014,12,1,5,sold in London bookshop / published by Samuel Lee & Newman,http://www.britishmuseum.org/research/collection_online/coll,,GBR,engraving after Francis Barlow,British Museum London,British Museum London,British Museum London,,2,imgs/1680_GBR__32.jpg,monika,,
33,George Brickham the Younger,A Skit on Britain,A Skit on Britain,1740-01-01,1740-12-31,3/21/2014 21:43,3/21/2014,12,1,1,London / England,http://www.britishmuseum.org/research/collection_online/coll,,GBR,,British Museum London,British Museum London,British Museum London,,0,imgs/1740_GBR__33.jpg,monika,,
34,Great Britain,Royal Coat of Arms after the 1707 Union with Scotland,Royal Coat of Arms after the 1707 Union with Scotland,1707-01-01,1707-12-31,3/21/2014 23:45,3/21/2014,1,1,5,,www.wikimedia.com,,GBR,Great Britain,,,,,2,imgs/1707_GBR__34.png,monika,,
35,England,Royal Coat of Arms 17th century,Royal Coat of Arms 17th century,1600-01-01,1707-12-31,3/21/2014 23:46,3/21/2014,13,1,5,,www.wikimedia.com,,GBR,England,,,,,2,imgs/1600_GBR__35.png,monika,,
36,Sanson,Map of Europe,Map of Europe,1700-01-01,1800-12-31,3/21/2014 23:47,3/21/2014,12,1,6,,,,FRA,France,,,,,0,imgs/1700_FRA__36.jpg,monika,,
37,Ploetz Historischer Weltatlas,Europa im Zeitalter des Absolutismus 1740,Europa im Zeitalter des Absolutismus 1740,1.1.2013,12/31/2013,3/21/2014 23:52,3/21/2014,13,1,2,,,,DEU,Weltatlas,,,,,0,imgs/2013_DEU__37.jpg,monika,,
38,Ploetz Historischer Weltatlas / Monika Barget,Map of the Jacobite Rising 1745,Map of the Jacobite Rising 1745,1.1.2013,12/31/2013,3/21/2014 23:55,3/21/2014,13,1,2,,,,DEU,,,,,,0,imgs/2013_DEU__38.jpg,monika,,
39,Ploetz Historischer Weltatlas / Monika Barget,Map of the Jacobite Rising 1715,Map of the Jacobite Rising 1715,1.1.2013,12/31/2013,3/21/2014 23:56,3/21/2014,13,1,2,,,,DEU,,,,,,0,imgs/2013_DEU__39.jpg,monika,,
40,Ploetz Historischer Weltatlas / Monika Barget,Map of the Glorious Revolution 1688,Map of the Glorious Revolution 1688,1.1.2013,12/31/2013,3/21/2014 23:58,3/21/2014,13,1,2,,,,DEU,,,,,,0,imgs/2013_DEU__40.jpg,monika,,
